SEX,COUNTRY,NACE_R2,TIME,UNIT,VALUE
Females,Greece,Manufacturing,2018,Euro,1688
Females,Greece,Manufacturing,2018,Purchasing power standard (PPS),1951
Females,Greece,Electricity gas steam and air conditioning supply,2018,Euro,2105
Females,Greece,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),2433
Females,Greece,Water supply; sewerage waste management and remediation activities,2018,Euro,2145
Females,Greece,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2479
Females,Greece,Construction,2018,Euro,1774
Females,Greece,Construction,2018,Purchasing power standard (PPS),2050
Females,Greece,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,0
Females,Greece,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),0
Females,Greece,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1708
Females,Greece,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1974
Females,Greece,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1536
Females,Greece,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),1776
Females,Greece,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1407
Females,Greece,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),1626
Females,Greece,Transportation and storage,2018,Euro,2357
Females,Greece,Transportation and storage,2018,Purchasing power standard (PPS),2725
Females,Greece,Accommodation and food service activities,2018,Euro,1340
Females,Greece,Accommodation and food service activities,2018,Purchasing power standard (PPS),1549
Females,Greece,Information and communication,2018,Euro,1638
Females,Greece,Information and communication,2018,Purchasing power standard (PPS),1893
Females,Greece,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,2049
Females,Greece,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2369
Females,Greece,Financial and insurance activities,2018,Euro,2533
Females,Greece,Financial and insurance activities,2018,Purchasing power standard (PPS),2927
Females,Greece,Real estate activities,2018,Euro,1710
Females,Greece,Real estate activities,2018,Purchasing power standard (PPS),1977
Females,Greece,Professional scientific and technical activities,2018,Euro,1944
Females,Greece,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2247
Females,Greece,Administrative and support service activities,2018,Euro,1358
Females,Greece,Administrative and support service activities,2018,Purchasing power standard (PPS),1570
Females,Greece,Public administration and defence; compulsory social security,2018,Euro,0
Females,Greece,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),0
Females,Greece,Education,2018,Euro,1726
Females,Greece,Education,2018,Purchasing power standard (PPS),1995
Females,Greece,Human health and social work activities,2018,Euro,1701
Females,Greece,Human health and social work activities,2018,Purchasing power standard (PPS),1966
Females,Greece,Arts entertainment and recreation,2018,Euro,1288
Females,Greece,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1488
Females,Greece,Other service activities,2018,Euro,1405
Females,Greece,Other service activities,2018,Purchasing power standard (PPS),1624
Females,Spain,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2456
Females,Spain,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2566
Females,Spain,Industry construction and services (except public administration defense compulsory social security),2018,Euro,2448
Females,Spain,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2558
Females,Spain,Business economy,2018,Euro,2372
Females,Spain,Business economy,2018,Purchasing power standard (PPS),2478
Females,Spain,Industry and construction,2018,Euro,2432
Females,Spain,Industry and construction,2018,Purchasing power standard (PPS),2541
Females,Spain,Industry (except construction),2018,Euro,2485
Females,Spain,Industry (except construction),2018,Purchasing power standard (PPS),2596
Females,Spain,Mining and quarrying,2018,Euro,3498
Females,Spain,Mining and quarrying,2018,Purchasing power standard (PPS),3654
Females,Spain,Manufacturing,2018,Euro,2438
Females,Spain,Manufacturing,2018,Purchasing power standard (PPS),2547
Females,Spain,Electricity gas steam and air conditioning supply,2018,Euro,3557
Females,Spain,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),3716
Females,Spain,Water supply; sewerage waste management and remediation activities,2018,Euro,2330
Females,Spain,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2434
Females,Spain,Construction,2018,Euro,2194
Females,Spain,Construction,2018,Purchasing power standard (PPS),2292
Females,Spain,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2459
Females,Spain,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2569
Females,Spain,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2450
Females,Spain,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2559
Females,Spain,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,2204
Females,Spain,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2302
Females,Spain,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,2058
Females,Spain,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),2150
Females,Spain,Transportation and storage,2018,Euro,2274
Females,Spain,Transportation and storage,2018,Purchasing power standard (PPS),2375
Females,Spain,Accommodation and food service activities,2018,Euro,1789
Females,Spain,Accommodation and food service activities,2018,Purchasing power standard (PPS),1869
Females,Spain,Information and communication,2018,Euro,2573
Females,Spain,Information and communication,2018,Purchasing power standard (PPS),2688
Females,Spain,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,2491
Females,Spain,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2603
Females,Spain,Financial and insurance activities,2018,Euro,3241
Females,Spain,Financial and insurance activities,2018,Purchasing power standard (PPS),3386
Females,Spain,Real estate activities,2018,Euro,2392
Females,Spain,Real estate activities,2018,Purchasing power standard (PPS),2499
Females,Spain,Professional scientific and technical activities,2018,Euro,2316
Females,Spain,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2420
Females,Spain,Administrative and support service activities,2018,Euro,1881
Females,Spain,Administrative and support service activities,2018,Purchasing power standard (PPS),1965
Females,Spain,Public administration and defence; compulsory social security,2018,Euro,2521
Females,Spain,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),2634
Females,Spain,Education,2018,Euro,2400
Females,Spain,Education,2018,Purchasing power standard (PPS),2507
Females,Spain,Human health and social work activities,2018,Euro,2696
Females,Spain,Human health and social work activities,2018,Purchasing power standard (PPS),2817
Females,Spain,Arts entertainment and recreation,2018,Euro,2120
Females,Spain,Arts entertainment and recreation,2018,Purchasing power standard (PPS),2214
Females,Spain,Other service activities,2018,Euro,1920
Females,Spain,Other service activities,2018,Purchasing power standard (PPS),2006
Females,France,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,3104
Females,France,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2732
Females,France,Industry construction and services (except public administration defense compulsory social security),2018,Euro,3129
Females,France,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2754
Females,France,Business economy,2018,Euro,3358
Females,France,Business economy,2018,Purchasing power standard (PPS),2956
Females,France,Industry and construction,2018,Euro,3502
Females,France,Industry and construction,2018,Purchasing power standard (PPS),3082
Females,France,Industry (except construction),2018,Euro,3525
Females,France,Industry (except construction),2018,Purchasing power standard (PPS),3103
Females,France,Mining and quarrying,2018,Euro,3662
Females,France,Mining and quarrying,2018,Purchasing power standard (PPS),3223
Females,France,Manufacturing,2018,Euro,3511
Females,France,Manufacturing,2018,Purchasing power standard (PPS),3090
Females,France,Electricity gas steam and air conditioning supply,2018,Euro,3897
Females,France,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),3430
Females,France,Water supply; sewerage waste management and remediation activities,2018,Euro,3105
Females,France,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2733
Females,France,Construction,2018,Euro,3329
Females,France,Construction,2018,Purchasing power standard (PPS),2930
Females,France,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,3066
Females,France,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2698
Females,France,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,3088
Females,France,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2718
Females,France,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,3188
Females,France,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2806
Females,France,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,2958
Females,France,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),2604
Females,France,Transportation and storage,2018,Euro,3310
Females,France,Transportation and storage,2018,Purchasing power standard (PPS),2914
Females,France,Accommodation and food service activities,2018,Euro,2448
Females,France,Accommodation and food service activities,2018,Purchasing power standard (PPS),2155
Females,France,Information and communication,2018,Euro,3829
Females,France,Information and communication,2018,Purchasing power standard (PPS),3370
Females,France,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,3421
Females,France,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),3011
Females,France,Financial and insurance activities,2018,Euro,3575
Females,France,Financial and insurance activities,2018,Purchasing power standard (PPS),3146
Females,France,Real estate activities,2018,Euro,2956
Females,France,Real estate activities,2018,Purchasing power standard (PPS),2602
Females,France,Professional scientific and technical activities,2018,Euro,3659
Females,France,Professional scientific and technical activities,2018,Purchasing power standard (PPS),3220
Females,France,Administrative and support service activities,2018,Euro,2830
Females,France,Administrative and support service activities,2018,Purchasing power standard (PPS),2491
Females,France,Public administration and defence; compulsory social security,2018,Euro,2912
Females,France,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),2563
Females,France,Education,2018,Euro,2985
Females,France,Education,2018,Purchasing power standard (PPS),2627
Females,France,Human health and social work activities,2018,Euro,2793
Females,France,Human health and social work activities,2018,Purchasing power standard (PPS),2458
Females,France,Arts entertainment and recreation,2018,Euro,3095
Females,France,Arts entertainment and recreation,2018,Purchasing power standard (PPS),2724
Females,France,Other service activities,2018,Euro,2783
Females,France,Other service activities,2018,Purchasing power standard (PPS),2449
Females,Croatia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1522
Females,Croatia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2169
Females,Croatia,Industry construction and services (except public administration defense compulsory social security),2018,Euro,1518
Females,Croatia,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2164
Females,Croatia,Business economy,2018,Euro,1667
Females,Croatia,Business economy,2018,Purchasing power standard (PPS),2376
Females,Croatia,Industry and construction,2018,Euro,1545
Females,Croatia,Industry and construction,2018,Purchasing power standard (PPS),2202
Females,Croatia,Industry (except construction),2018,Euro,1556
Females,Croatia,Industry (except construction),2018,Purchasing power standard (PPS),2217
Females,Croatia,Mining and quarrying,2018,Euro,1892
Females,Croatia,Mining and quarrying,2018,Purchasing power standard (PPS),2696
Females,Croatia,Manufacturing,2018,Euro,1526
Females,Croatia,Manufacturing,2018,Purchasing power standard (PPS),2175
Females,Croatia,Electricity gas steam and air conditioning supply,2018,Euro,1978
Females,Croatia,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),2819
Females,Croatia,Water supply; sewerage waste management and remediation activities,2018,Euro,1507
Females,Croatia,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2148
Females,Croatia,Construction,2018,Euro,1472
Females,Croatia,Construction,2018,Purchasing power standard (PPS),2097
Females,Croatia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1519
Females,Croatia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2165
Females,Croatia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1515
Females,Croatia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2159
Females,Croatia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1692
Females,Croatia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2411
Females,Croatia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1716
Females,Croatia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),2445
Females,Croatia,Transportation and storage,2018,Euro,1841
Females,Croatia,Transportation and storage,2018,Purchasing power standard (PPS),2624
Females,Croatia,Accommodation and food service activities,2018,Euro,1434
Females,Croatia,Accommodation and food service activities,2018,Purchasing power standard (PPS),2043
Females,Croatia,Information and communication,2018,Euro,1777
Females,Croatia,Information and communication,2018,Purchasing power standard (PPS),2532
Females,Croatia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,1728
Females,Croatia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2462
Females,Croatia,Financial and insurance activities,2018,Euro,1810
Females,Croatia,Financial and insurance activities,2018,Purchasing power standard (PPS),2579
Females,Croatia,Real estate activities,2018,Euro,1629
Females,Croatia,Real estate activities,2018,Purchasing power standard (PPS),2321
Females,Croatia,Professional scientific and technical activities,2018,Euro,1798
Females,Croatia,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2562
Females,Croatia,Administrative and support service activities,2018,Euro,1263
Females,Croatia,Administrative and support service activities,2018,Purchasing power standard (PPS),1799
Females,Croatia,Public administration and defence; compulsory social security,2018,Euro,1547
Females,Croatia,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),2205
Females,Croatia,Education,2018,Euro,1294
Females,Croatia,Education,2018,Purchasing power standard (PPS),1844
Females,Croatia,Human health and social work activities,2018,Euro,1639
Females,Croatia,Human health and social work activities,2018,Purchasing power standard (PPS),2336
Females,Croatia,Arts entertainment and recreation,2018,Euro,1376
Females,Croatia,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1961
Females,Croatia,Other service activities,2018,Euro,1561
Females,Croatia,Other service activities,2018,Purchasing power standard (PPS),2225
Females,Italy,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2720
Females,Italy,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2628
Females,Italy,Industry construction and services (except public administration defense compulsory social security),2018,Euro,2684
Females,Italy,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2593
Females,Italy,Business economy,2018,Euro,2808
Females,Italy,Business economy,2018,Purchasing power standard (PPS),2713
Females,Italy,Industry and construction,2018,Euro,2960
Females,Italy,Industry and construction,2018,Purchasing power standard (PPS),2860
Females,Italy,Industry (except construction),2018,Euro,2983
Females,Italy,Industry (except construction),2018,Purchasing power standard (PPS),2882
Females,Italy,Mining and quarrying,2018,Euro,4798
Females,Italy,Mining and quarrying,2018,Purchasing power standard (PPS),4636
Females,Italy,Manufacturing,2018,Euro,2953
Females,Italy,Manufacturing,2018,Purchasing power standard (PPS),2854
Females,Italy,Electricity gas steam and air conditioning supply,2018,Euro,3332
Females,Italy,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),3220
Females,Italy,Water supply; sewerage waste management and remediation activities,2018,Euro,2696
Females,Italy,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2605
Females,Italy,Construction,2018,Euro,2610
Females,Italy,Construction,2018,Purchasing power standard (PPS),2522
Females,Italy,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2697
Females,Italy,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2606
Females,Italy,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2654
Females,Italy,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2564
Females,Italy,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,2646
Females,Italy,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2557
Females,Italy,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,2634
Females,Italy,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),2545
Females,Italy,Transportation and storage,2018,Euro,2514
Females,Italy,Transportation and storage,2018,Purchasing power standard (PPS),2429
Females,Italy,Accommodation and food service activities,2018,Euro,1944
Females,Italy,Accommodation and food service activities,2018,Purchasing power standard (PPS),1878
Females,Italy,Information and communication,2018,Euro,2989
Females,Italy,Information and communication,2018,Purchasing power standard (PPS),2888
Females,Italy,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,2867
Females,Italy,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2770
Females,Italy,Financial and insurance activities,2018,Euro,3432
Females,Italy,Financial and insurance activities,2018,Purchasing power standard (PPS),3316
Females,Italy,Real estate activities,2018,Euro,2978
Females,Italy,Real estate activities,2018,Purchasing power standard (PPS),2878
Females,Italy,Professional scientific and technical activities,2018,Euro,2973
Females,Italy,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2873
Females,Italy,Administrative and support service activities,2018,Euro,2155
Females,Italy,Administrative and support service activities,2018,Purchasing power standard (PPS),2082
Females,Italy,Public administration and defence; compulsory social security,2018,Euro,3024
Females,Italy,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),2922
Females,Italy,Education,2018,Euro,2373
Females,Italy,Education,2018,Purchasing power standard (PPS),2293
Females,Italy,Human health and social work activities,2018,Euro,2976
Females,Italy,Human health and social work activities,2018,Purchasing power standard (PPS),2876
Females,Italy,Arts entertainment and recreation,2018,Euro,2338
Females,Italy,Arts entertainment and recreation,2018,Purchasing power standard (PPS),2259
Females,Italy,Other service activities,2018,Euro,2091
Females,Italy,Other service activities,2018,Purchasing power standard (PPS),2020
Females,Cyprus,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2305
Females,Cyprus,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2564
Females,Cyprus,Industry construction and services (except public administration defense compulsory social security),2018,Euro,2298
Females,Cyprus,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2556
Females,Cyprus,Business economy,2018,Euro,2106
Females,Cyprus,Business economy,2018,Purchasing power standard (PPS),2342
Females,Cyprus,Industry and construction,2018,Euro,1753
Females,Cyprus,Industry and construction,2018,Purchasing power standard (PPS),1949
Females,Cyprus,Industry (except construction),2018,Euro,1679
Females,Cyprus,Industry (except construction),2018,Purchasing power standard (PPS),1867
Females,Cyprus,Mining and quarrying,2018,Euro,0
Females,Cyprus,Mining and quarrying,2018,Purchasing power standard (PPS),0
Females,Cyprus,Manufacturing,2018,Euro,1509
Females,Cyprus,Manufacturing,2018,Purchasing power standard (PPS),1678
Females,Cyprus,Electricity gas steam and air conditioning supply,2018,Euro,0
Females,Cyprus,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),0
Females,Cyprus,Water supply; sewerage waste management and remediation activities,2018,Euro,2141
Females,Cyprus,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2381
Females,Cyprus,Construction,2018,Euro,1953
Females,Cyprus,Construction,2018,Purchasing power standard (PPS),2172
Females,Cyprus,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2340
Females,Cyprus,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2602
Females,Cyprus,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2336
Females,Cyprus,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2598
Females,Cyprus,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1873
Females,Cyprus,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2082
Females,Cyprus,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1619
Females,Cyprus,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),1800
Females,Cyprus,Transportation and storage,2018,Euro,2057
Females,Cyprus,Transportation and storage,2018,Purchasing power standard (PPS),2287
Females,Cyprus,Accommodation and food service activities,2018,Euro,1376
Females,Cyprus,Accommodation and food service activities,2018,Purchasing power standard (PPS),1531
Females,Cyprus,Information and communication,2018,Euro,2744
Females,Cyprus,Information and communication,2018,Purchasing power standard (PPS),3052
Females,Cyprus,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,2343
Females,Cyprus,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2606
Females,Cyprus,Financial and insurance activities,2018,Euro,2613
Females,Cyprus,Financial and insurance activities,2018,Purchasing power standard (PPS),2906
Females,Cyprus,Real estate activities,2018,Euro,0
Females,Cyprus,Real estate activities,2018,Purchasing power standard (PPS),0
Females,Cyprus,Professional scientific and technical activities,2018,Euro,2060
Females,Cyprus,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2291
Females,Cyprus,Administrative and support service activities,2018,Euro,0
Females,Cyprus,Administrative and support service activities,2018,Purchasing power standard (PPS),0
Females,Cyprus,Public administration and defence; compulsory social security,2018,Euro,2378
Females,Cyprus,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),2645
Females,Cyprus,Education,2018,Euro,2768
Females,Cyprus,Education,2018,Purchasing power standard (PPS),3079
Females,Cyprus,Human health and social work activities,2018,Euro,2276
Females,Cyprus,Human health and social work activities,2018,Purchasing power standard (PPS),2531
Females,Cyprus,Arts entertainment and recreation,2018,Euro,1774
Females,Cyprus,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1973
Females,Cyprus,Other service activities,2018,Euro,0
Females,Cyprus,Other service activities,2018,Purchasing power standard (PPS),0
Females,Latvia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1318
Females,Latvia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1723
Females,Latvia,Industry construction and services (except public administration defense compulsory social security),2018,Euro,1321
Females,Latvia,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),1727
Females,Latvia,Business economy,2018,Euro,1472
Females,Latvia,Business economy,2018,Purchasing power standard (PPS),1924
Females,Latvia,Industry and construction,2018,Euro,1351
Females,Latvia,Industry and construction,2018,Purchasing power standard (PPS),1766
Females,Latvia,Industry (except construction),2018,Euro,1342
Females,Latvia,Industry (except construction),2018,Purchasing power standard (PPS),1754
Females,Latvia,Mining and quarrying,2018,Euro,1573
Females,Latvia,Mining and quarrying,2018,Purchasing power standard (PPS),2056
Females,Latvia,Manufacturing,2018,Euro,1318
Females,Latvia,Manufacturing,2018,Purchasing power standard (PPS),1723
Females,Latvia,Electricity gas steam and air conditioning supply,2018,Euro,1549
Females,Latvia,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),2025
Females,Latvia,Water supply; sewerage waste management and remediation activities,2018,Euro,1184
Females,Latvia,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),1547
Females,Latvia,Construction,2018,Euro,1385
Females,Latvia,Construction,2018,Purchasing power standard (PPS),1810
Females,Latvia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1315
Females,Latvia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1719
Females,Latvia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1318
Females,Latvia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1722
Females,Latvia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1443
Females,Latvia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),1886
Females,Latvia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1293
Females,Latvia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),1690
Females,Latvia,Transportation and storage,2018,Euro,1353
Females,Latvia,Transportation and storage,2018,Purchasing power standard (PPS),1768
Females,Latvia,Accommodation and food service activities,2018,Euro,1390
Females,Latvia,Accommodation and food service activities,2018,Purchasing power standard (PPS),1817
Females,Latvia,Information and communication,2018,Euro,1863
Females,Latvia,Information and communication,2018,Purchasing power standard (PPS),2435
Females,Latvia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,1604
Females,Latvia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2096
Females,Latvia,Financial and insurance activities,2018,Euro,1797
Females,Latvia,Financial and insurance activities,2018,Purchasing power standard (PPS),2349
Females,Latvia,Real estate activities,2018,Euro,1429
Females,Latvia,Real estate activities,2018,Purchasing power standard (PPS),1867
Females,Latvia,Professional scientific and technical activities,2018,Euro,1622
Females,Latvia,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2120
Females,Latvia,Administrative and support service activities,2018,Euro,1347
Females,Latvia,Administrative and support service activities,2018,Purchasing power standard (PPS),1760
Females,Latvia,Public administration and defence; compulsory social security,2018,Euro,1300
Females,Latvia,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),1699
Females,Latvia,Education,2018,Euro,979
Females,Latvia,Education,2018,Purchasing power standard (PPS),1279
Females,Latvia,Human health and social work activities,2018,Euro,1644
Females,Latvia,Human health and social work activities,2018,Purchasing power standard (PPS),2149
Females,Latvia,Arts entertainment and recreation,2018,Euro,956
Females,Latvia,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1250
Females,Latvia,Other service activities,2018,Euro,1471
Females,Latvia,Other service activities,2018,Purchasing power standard (PPS),1922
Females,Lithuania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1125
Females,Lithuania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1655
Females,Lithuania,Industry construction and services (except public administration defense compulsory social security),2018,Euro,1121
Females,Lithuania,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),1649
Females,Lithuania,Business economy,2018,Euro,1177
Females,Lithuania,Business economy,2018,Purchasing power standard (PPS),1731
Females,Lithuania,Industry and construction,2018,Euro,1130
Females,Lithuania,Industry and construction,2018,Purchasing power standard (PPS),1663
Females,Lithuania,Industry (except construction),2018,Euro,1146
Females,Lithuania,Industry (except construction),2018,Purchasing power standard (PPS),1687
Females,Lithuania,Mining and quarrying,2018,Euro,1361
Females,Lithuania,Mining and quarrying,2018,Purchasing power standard (PPS),2002
Females,Lithuania,Manufacturing,2018,Euro,1139
Females,Lithuania,Manufacturing,2018,Purchasing power standard (PPS),1676
Females,Lithuania,Electricity gas steam and air conditioning supply,2018,Euro,1310
Females,Lithuania,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),1928
Females,Lithuania,Water supply; sewerage waste management and remediation activities,2018,Euro,1076
