SEX,GEO,SIZECLAS,Value
Females,Lithuania,Professional scientific and technical activities,1217
Females,Lithuania,Administrative and support service activities,747
Females,Lithuania,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,944
Females,Lithuania,Public administration and defence; compulsory social security1094
Females,Lithuania,Education; human health and social work activities; arts entertainment and recreation; other service activities,913
Females,Lithuania,Education,861
Females,Lithuania,Human health and social work activities,1013
Females,Lithuania,Arts entertainment and recreation,744
Females,Lithuania,Other service activities,792
Females,Luxembourg,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4601
Females,Luxembourg,Industry construction and services (except public administration defense compulsory social security),4528
Females,Luxembourg,Business economy,3961
Females,Luxembourg,Industry and construction,3668
Females,Luxembourg,Industry (except construction),3697
Females,Luxembourg,Mining and quarrying,0
Females,Luxembourg,Manufacturing,3563
Females,Luxembourg,Electricity gas steam and air conditioning supply,0
Females,Luxembourg,Water supply; sewerage waste management and remediation activities,4241
Females,Luxembourg,Construction,3613
Females,Luxembourg,Services (except activities of households as employers and extra-territorial organisations and bodies),4666
Females,Luxembourg,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4590
Females,Luxembourg,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3266
Females,Luxembourg,Wholesale and retail trade; repair of motor vehicles and motorcycles,3025
Females,Luxembourg,Transportation and storage,3994
Females,Luxembourg,Accommodation and food service activities,2563
Females,Luxembourg,Information and communication,4537
Females,Luxembourg,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4490
Females,Luxembourg,Financial and insurance activities,5571
Females,Luxembourg,Real estate activities,3879
Females,Luxembourg,Professional scientific and technical activities,4670
Females,Luxembourg,Administrative and support service activities,2778
Females,Luxembourg,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,5800
Females,Luxembourg,Public administration and defence; compulsory social security6706
Females,Luxembourg,Education; human health and social work activities; arts entertainment and recreation; other service activities,5703
Females,Luxembourg,Education,7469
Females,Luxembourg,Human health and social work activities,5076
Females,Luxembourg,Arts entertainment and recreation,5124
Females,Luxembourg,Other service activities,3802
Females,Hungary,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),893
Females,Hungary,Industry construction and services (except public administration defense compulsory social security),908
Females,Hungary,Business economy,917
Females,Hungary,Industry and construction,855
Females,Hungary,Industry (except construction),854
Females,Hungary,Mining and quarrying,861
Females,Hungary,Manufacturing,837
Females,Hungary,Electricity gas steam and air conditioning supply,1260
Females,Hungary,Water supply; sewerage waste management and remediation activities,889
Females,Hungary,Construction,856
Females,Hungary,Services (except activities of households as employers and extra-territorial organisations and bodies),901
Females,Hungary,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),922
Females,Hungary,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,874
Females,Hungary,Wholesale and retail trade; repair of motor vehicles and motorcycles,830
Females,Hungary,Transportation and storage,931
Females,Hungary,Accommodation and food service activities,634
Females,Hungary,Information and communication,1356
Females,Hungary,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1082
Females,Hungary,Financial and insurance activities,1405
Females,Hungary,Real estate activities,881
Females,Hungary,Professional scientific and technical activities,1220
Females,Hungary,Administrative and support service activities,787
Females,Hungary,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,870
Females,Hungary,Public administration and defence; compulsory social security824
Females,Hungary,Education; human health and social work activities; arts entertainment and recreation; other service activities,894
Females,Hungary,Education,926
Females,Hungary,Human health and social work activities,873
Females,Hungary,Arts entertainment and recreation,770
Females,Hungary,Other service activities,630
Females,Malta,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1918
Females,Malta,Industry construction and services (except public administration defense compulsory social security),1905
Females,Malta,Business economy,1814
Females,Malta,Industry and construction,1660
Females,Malta,Industry (except construction),1666
Females,Malta,Mining and quarrying,0
Females,Malta,Manufacturing,1661
Females,Malta,Electricity gas steam and air conditioning supply,0
Females,Malta,Water supply; sewerage waste management and remediation activities,0
Females,Malta,Construction,1600
Females,Malta,Services (except activities of households as employers and extra-territorial organisations and bodies),1940
Females,Malta,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1928
Females,Malta,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1802
Females,Malta,Wholesale and retail trade; repair of motor vehicles and motorcycles,1694
Females,Malta,Transportation and storage,2185
Females,Malta,Accommodation and food service activities,1596
Females,Malta,Information and communication,2237
Females,Malta,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1880
Females,Malta,Financial and insurance activities,2353
Females,Malta,Real estate activities,1844
Females,Malta,Professional scientific and technical activities,2152
Females,Malta,Administrative and support service activities,1483
Females,Malta,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2045
Females,Malta,Public administration and defence; compulsory social security2111
Females,Malta,Education; human health and social work activities; arts entertainment and recreation; other service activities,2035
Females,Malta,Education,1902
Females,Malta,Human health and social work activities,2125
Females,Malta,Arts entertainment and recreation,2451
Females,Malta,Other service activities,1507
Females,Netherlands,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2804
Females,Netherlands,Industry construction and services (except public administration defense compulsory social security),2742
Females,Netherlands,Business economy,2481
Females,Netherlands,Industry and construction,2923
Females,Netherlands,Industry (except construction),2887
Females,Netherlands,Mining and quarrying,4479
Females,Netherlands,Manufacturing,2830
Females,Netherlands,Electricity gas steam and air conditioning supply,3959
Females,Netherlands,Water supply; sewerage waste management and remediation activities,2997
Females,Netherlands,Construction,3145
Females,Netherlands,Services (except activities of households as employers and extra-territorial organisations and bodies),2797
Females,Netherlands,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2731
Females,Netherlands,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2203
Females,Netherlands,Wholesale and retail trade; repair of motor vehicles and motorcycles,2066
Females,Netherlands,Transportation and storage,2762
Females,Netherlands,Accommodation and food service activities,1767
Females,Netherlands,Information and communication,3533
Females,Netherlands,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,2688
Females,Netherlands,Financial and insurance activities,3953
Females,Netherlands,Real estate activities,3383
Females,Netherlands,Professional scientific and technical activities,3480
Females,Netherlands,Administrative and support service activities,2174
Females,Netherlands,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3132
Females,Netherlands,Public administration and defence; compulsory social security3733
Females,Netherlands,Education; human health and social work activities; arts entertainment and recreation; other service activities,3047
Females,Netherlands,Education,3509
Females,Netherlands,Human health and social work activities,2929
Females,Netherlands,Arts entertainment and recreation,2517
Females,Netherlands,Other service activities,3040
Females,Austria,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
Females,Austria,Industry construction and services (except public administration defense compulsory social security),2623
Females,Austria,Business economy,2558
Females,Austria,Industry and construction,2762
Females,Austria,Industry (except construction),2763
Females,Austria,Mining and quarrying,3164
Females,Austria,Manufacturing,2735
Females,Austria,Electricity gas steam and air conditioning supply,3961
Females,Austria,Water supply; sewerage waste management and remediation activities,2592
Females,Austria,Construction,2757
Females,Austria,Services (except activities of households as employers and extra-territorial organisations and bodies),0
Females,Austria,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2598
Females,Austria,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2326
Females,Austria,Wholesale and retail trade; repair of motor vehicles and motorcycles,2315
Females,Austria,Transportation and storage,2665
Females,Austria,Accommodation and food service activities,1850
Females,Austria,Information and communication,3469
Females,Austria,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,2829
Females,Austria,Financial and insurance activities,3655
Females,Austria,Real estate activities,2914
Females,Austria,Professional scientific and technical activities,3166
Females,Austria,Administrative and support service activities,2102
Females,Austria,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
Females,Austria,Public administration and defence; compulsory social security0
Females,Austria,Education; human health and social work activities; arts entertainment and recreation; other service activities,2814
Females,Austria,Education,2953
Females,Austria,Human health and social work activities,2881
Females,Austria,Arts entertainment and recreation,2476
Females,Austria,Other service activities,2412
Females,Poland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1007
Females,Poland,Industry construction and services (except public administration defense compulsory social security),999
Females,Poland,Business economy,1012
Females,Poland,Industry and construction,951
Females,Poland,Industry (except construction),939
Females,Poland,Mining and quarrying,1231
Females,Poland,Manufacturing,917
Females,Poland,Electricity gas steam and air conditioning supply,1480
Females,Poland,Water supply; sewerage waste management and remediation activities,993
Females,Poland,Construction,1134
Females,Poland,Services (except activities of households as employers and extra-territorial organisations and bodies),1021
Females,Poland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1012
Females,Poland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,953
Females,Poland,Wholesale and retail trade; repair of motor vehicles and motorcycles,884
Females,Poland,Transportation and storage,1043
Females,Poland,Accommodation and food service activities,746
Females,Poland,Information and communication,1602
Females,Poland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1220
Females,Poland,Financial and insurance activities,1543
Females,Poland,Real estate activities,1010
Females,Poland,Professional scientific and technical activities,1414
Females,Poland,Administrative and support service activities,772
Females,Poland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,999
Females,Poland,Public administration and defence; compulsory social security1096
Females,Poland,Education; human health and social work activities; arts entertainment and recreation; other service activities,976
Females,Poland,Education,957
Females,Poland,Human health and social work activities,1031
Females,Poland,Arts entertainment and recreation,883
Females,Poland,Other service activities,738
Females,Portugal,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
Females,Portugal,Industry construction and services (except public administration defense compulsory social security),1217
Females,Portugal,Business economy,1085
Females,Portugal,Industry and construction,979
Females,Portugal,Industry (except construction),970
Females,Portugal,Mining and quarrying,1428
Females,Portugal,Manufacturing,946
Females,Portugal,Electricity gas steam and air conditioning supply,2914
Females,Portugal,Water supply; sewerage waste management and remediation activities,1339
Females,Portugal,Construction,1115
Females,Portugal,Services (except activities of households as employers and extra-territorial organisations and bodies),0
Females,Portugal,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1274
Females,Portugal,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1078
Females,Portugal,Wholesale and retail trade; repair of motor vehicles and motorcycles,1039
Females,Portugal,Transportation and storage,1590
Females,Portugal,Accommodation and food service activities,832
Females,Portugal,Information and communication,1852
Females,Portugal,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1220
Females,Portugal,Financial and insurance activities,2170
Females,Portugal,Real estate activities,1423
Females,Portugal,Professional scientific and technical activities,1610
Females,Portugal,Administrative and support service activities,865
Females,Portugal,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
Females,Portugal,Public administration and defence; compulsory social security0
Females,Portugal,Education; human health and social work activities; arts entertainment and recreation; other service activities,1427
Females,Portugal,Education,1819
Females,Portugal,Human health and social work activities,1179
Females,Portugal,Arts entertainment and recreation,1167
Females,Portugal,Other service activities,1075
Females,Romania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),964
Females,Romania,Industry construction and services (except public administration defense compulsory social security),937
Females,Romania,Business economy,832
Females,Romania,Industry and construction,727
Females,Romania,Industry (except construction),721
Females,Romania,Mining and quarrying,1330
Females,Romania,Manufacturing,702
Females,Romania,Electricity gas steam and air conditioning supply,1107
Females,Romania,Water supply; sewerage waste management and remediation activities,761
Females,Romania,Construction,842
Females,Romania,Services (except activities of households as employers and extra-territorial organisations and bodies),1064
Females,Romania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1036
Females,Romania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,841
Females,Romania,Wholesale and retail trade; repair of motor vehicles and motorcycles,763
Females,Romania,Transportation and storage,843
Females,Romania,Accommodation and food service activities,548
Females,Romania,Information and communication,1524
Females,Romania,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1078
Females,Romania,Financial and insurance activities,1279
Females,Romania,Real estate activities,777
Females,Romania,Professional scientific and technical activities,1301
Females,Romania,Administrative and support service activities,834
Females,Romania,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1228
Females,Romania,Public administration and defence; compulsory social security1279
Females,Romania,Education; human health and social work activities; arts entertainment and recreation; other service activities,1211
Females,Romania,Education,1107
Females,Romania,Human health and social work activities,1419
Females,Romania,Arts entertainment and recreation,764
Females,Romania,Other service activities,655
Females,Slovenia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1637
Females,Slovenia,Industry construction and services (except public administration defense compulsory social security),1610
Females,Slovenia,Business economy,1549
Females,Slovenia,Industry and construction,1513
Females,Slovenia,Industry (except construction),1501
Females,Slovenia,Mining and quarrying,2010
Females,Slovenia,Manufacturing,1465
Females,Slovenia,Electricity gas steam and air conditioning supply,2359
Females,Slovenia,Water supply; sewerage waste management and remediation activities,1883
Females,Slovenia,Construction,1814
Females,Slovenia,Services (except activities of households as employers and extra-territorial organisations and bodies),1670
Females,Slovenia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1639
Females,Slovenia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1489
Females,Slovenia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1404
Females,Slovenia,Transportation and storage,1791
Females,Slovenia,Accommodation and food service activities,1258
Females,Slovenia,Information and communication,2113
Females,Slovenia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1725
Females,Slovenia,Financial and insurance activities,2117
Females,Slovenia,Real estate activities,1646
Females,Slovenia,Professional scientific and technical activities,2092
Females,Slovenia,Administrative and support service activities,1116
Females,Slovenia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1750
Females,Slovenia,Public administration and defence; compulsory social security1914
Females,Slovenia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1709
Females,Slovenia,Education,1705
Females,Slovenia,Human health and social work activities,1718
Females,Slovenia,Arts entertainment and recreation,1775
Females,Slovenia,Other service activities,1485
Females,Slovakia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1025
Females,Slovakia,Industry construction and services (except public administration defense compulsory social security),1024
Females,Slovakia,Business economy,1031
Females,Slovakia,Industry and construction,987
Females,Slovakia,Industry (except construction),989
Females,Slovakia,Mining and quarrying,938
Females,Slovakia,Manufacturing,978
Females,Slovakia,Electricity gas steam and air conditioning supply,1417
Females,Slovakia,Water supply; sewerage waste management and remediation activities,971
Females,Slovakia,Construction,967
Females,Slovakia,Services (except activities of households as employers and extra-territorial organisations and bodies),1035
Females,Slovakia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1036
Females,Slovakia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,982
Females,Slovakia,Wholesale and retail trade; repair of motor vehicles and motorcycles,966
Females,Slovakia,Transportation and storage,960
Females,Slovakia,Accommodation and food service activities,740
Females,Slovakia,Information and communication,1547
Females,Slovakia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1207
Females,Slovakia,Financial and insurance activities,1519
Females,Slovakia,Real estate activities,978
Females,Slovakia,Professional scientific and technical activities,1378
Females,Slovakia,Administrative and support service activities,870
Females,Slovakia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1016
Females,Slovakia,Public administration and defence; compulsory social security1031
Females,Slovakia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1011
Females,Slovakia,Education,991
Females,Slovakia,Human health and social work activities,1067
Females,Slovakia,Arts entertainment and recreation,900
Females,Slovakia,Other service activities,858
Females,Finland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3071
Females,Finland,Industry construction and services (except public administration defense compulsory social security),3047
Females,Finland,Business economy,3051
Females,Finland,Industry and construction,3407
Females,Finland,Industry (except construction),3428
Females,Finland,Mining and quarrying,3427
Females,Finland,Manufacturing,3416
Females,Finland,Electricity gas steam and air conditioning supply,3858
Females,Finland,Water supply; sewerage waste management and remediation activities,3166
Females,Finland,Construction,3278
Females,Finland,Services (except activities of households as employers and extra-territorial organisations and bodies),3039
Females,Finland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3010
Females,Finland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2874
Females,Finland,Wholesale and retail trade; repair of motor vehicles and motorcycles,2770
Females,Finland,Transportation and storage,3067
Females,Finland,Accommodation and food service activities,2386
Females,Finland,Information and communication,4019
Females,Finland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3097
Females,Finland,Financial and insurance activities,3732
Females,Finland,Real estate activities,3189
Females,Finland,Professional scientific and technical activities,3617
Females,Finland,Administrative and support service activities,2434
Females,Finland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3087
Females,Finland,Public administration and defence; compulsory social security3383
Females,Finland,Education; human health and social work activities; arts entertainment and recreation; other service activities,3043
Females,Finland,Education,3398
Females,Finland,Human health and social work activities,2952
Females,Finland,Arts entertainment and recreation,2775
Females,Finland,Other service activities,2856
Females,Sweden,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3260
Females,Sweden,Industry construction and services (except public administration defense compulsory social security),3248
Females,Sweden,Business economy,3430
Females,Sweden,Industry and construction,3672
Females,Sweden,Industry (except construction),3672
Females,Sweden,Mining and quarrying,3866
Females,Sweden,Manufacturing,3652
Females,Sweden,Electricity gas steam and air conditioning supply,4000
Females,Sweden,Water supply; sewerage waste management and remediation activities,3547
Females,Sweden,Construction,3671
Females,Sweden,Services (except activities of households as employers and extra-territorial organisations and bodies),3227
Females,Sweden,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3213
Females,Sweden,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3214
Females,Sweden,Wholesale and retail trade; repair of motor vehicles and motorcycles,3179
Females,Sweden,Transportation and storage,3247
Females,Sweden,Accommodation and food service activities,2621
Females,Sweden,Information and communication,4219
Females,Sweden,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3609
Females,Sweden,Financial and insurance activities,4394
Females,Sweden,Real estate activities,3622
Females,Sweden,Professional scientific and technical activities,3993
Females,Sweden,Administrative and support service activities,3026
Females,Sweden,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3155
Females,Sweden,Public administration and defence; compulsory social security3570
Females,Sweden,Education; human health and social work activities; arts entertainment and recreation; other service activities,3128
Females,Sweden,Education,3124
Females,Sweden,Human health and social work activities,3128
Females,Sweden,Arts entertainment and recreation,2934
Females,Sweden,Other service activities,3283
Females,Iceland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4528
Females,Iceland,Industry construction and services (except public administration defense compulsory social security),4466
Females,Iceland,Business economy,4401
Females,Iceland,Industry and construction,4565
Females,Iceland,Industry (except construction),4530
Females,Iceland,Mining and quarrying,0
Females,Iceland,Manufacturing,4389
Females,Iceland,Electricity gas steam and air conditioning supply,6182
Females,Iceland,Water supply; sewerage waste management and remediation activities,4343
Females,Iceland,Construction,5097
Females,Iceland,Services (except activities of households as employers and extra-territorial organisations and bodies),4525
Females,Iceland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4456
Females,Iceland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4168
Females,Iceland,Wholesale and retail trade; repair of motor vehicles and motorcycles,4776
Females,Iceland,Transportation and storage,4316
Females,Iceland,Accommodation and food service activities,3256
Females,Iceland,Information and communication,5032
Females,Iceland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,6053
Females,Iceland,Financial and insurance activities,6053
Females,Iceland,Real estate activities,0
Females,Iceland,Professional scientific and technical activities,0
Females,Iceland,Administrative and support service activities,0
Females,Iceland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,4643
Females,Iceland,Public administration and defence; compulsory social security5456
Females,Iceland,Education; human health and social work activities; arts entertainment and recreation; other service activities,4533
Females,Iceland,Education,4120
Females,Iceland,Human health and social work activities,4915
Females,Iceland,Arts entertainment and recreation,0
Females,Iceland,Other service activities,0
Females,Norway,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4360
Females,Norway,Industry construction and services (except public administration defense compulsory social security),4327
Females,Norway,Business economy,4306
Females,Norway,Industry and construction,5126
Females,Norway,Industry (except construction),5233
Females,Norway,Mining and quarrying,7775
Females,Norway,Manufacturing,4598
Females,Norway,Electricity gas steam and air conditioning supply,5869
Females,Norway,Water supply; sewerage waste management and remediation activities,4658
Females,Norway,Construction,4707
Females,Norway,Services (except activities of households as employers and extra-territorial organisations and bodies),4303
Females,Norway,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4262
Females,Norway,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3830
Females,Norway,Wholesale and retail trade; repair of motor vehicles and motorcycles,3679
Females,Norway,Transportation and storage,4465
Females,Norway,Accommodation and food service activities,3067
Females,Norway,Information and communication,5631
Females,Norway,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4683
Females,Norway,Financial and insurance activities,5637
Females,Norway,Real estate activities,5018
Females,Norway,Professional scientific and technical activities,5301
Females,Norway,Administrative and support service activities,3759
Females,Norway,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,4394
Females,Norway,Public administration and defence; compulsory social security4780
Females,Norway,Education; human health and social work activities; arts entertainment and recreation; other service activities,4342
Females,Norway,Education,4527
Females,Norway,Human health and social work activities,4319
Females,Norway,Arts entertainment and recreation,3693
Females,Norway,Other service activities,4210
Females,Switzerland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),5892
Females,Switzerland,Industry construction and services (except public administration defense compulsory social security),5889
Females,Switzerland,Business economy,5728
Females,Switzerland,Industry and construction,5635
Females,Switzerland,Industry (except construction),5631
Females,Switzerland,Mining and quarrying,5672
Females,Switzerland,Manufacturing,5593
Females,Switzerland,Electricity gas steam and air conditioning supply,6840
Females,Switzerland,Water supply; sewerage waste management and remediation activities,6046
Females,Switzerland,Construction,5662
Females,Switzerland,Services (except activities of households as employers and extra-territorial organisations and bodies),5934
Females,Switzerland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),5931
Females,Switzerland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,5293
Females,Switzerland,Wholesale and retail trade; repair of motor vehicles and motorcycles,5336
Females,Switzerland,Transportation and storage,5441
Females,Switzerland,Accommodation and food service activities,4316
Females,Switzerland,Information and communication,6929
Females,Switzerland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,6359
Females,Switzerland,Financial and insurance activities,7515
Females,Switzerland,Real estate activities,6021
Females,Switzerland,Professional scientific and technical activities,7049
Females,Switzerland,Administrative and support service activities,4783
Females,Switzerland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,6170
Females,Switzerland,Public administration and defence; compulsory social security7288
Females,Switzerland,Education; human health and social work activities; arts entertainment and recreation; other service activities,6164
Females,Switzerland,Education,7226
Females,Switzerland,Human health and social work activities,6014
Females,Switzerland,Arts entertainment and recreation,5848
Females,Switzerland,Other service activities,6189
Females,United Kingdom,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2859
Females,United Kingdom,Industry construction and services (except public administration defense compulsory social security),2843
Females,United Kingdom,Business economy,2789
Females,United Kingdom,Industry and construction,2944
Females,United Kingdom,Industry (except construction),2904
Females,United Kingdom,Mining and quarrying,4520
Females,United Kingdom,Manufacturing,2811
Females,United Kingdom,Electricity gas steam and air conditioning supply,3377
Females,United Kingdom,Water supply; sewerage waste management and remediation activities,3307
Females,United Kingdom,Construction,3126
Females,United Kingdom,Services (except activities of households as employers and extra-territorial organisations and bodies),2854
Females,United Kingdom,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2836
Females,United Kingdom,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2387
Females,United Kingdom,Wholesale and retail trade; repair of motor vehicles and motorcycles,2299
Females,United Kingdom,Transportation and storage,2975
Females,United Kingdom,Accommodation and food service activities,1865
Females,United Kingdom,Information and communication,3814
Females,United Kingdom,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3275
Females,United Kingdom,Financial and insurance activities,3969
Females,United Kingdom,Real estate activities,2929
Females,United Kingdom,Professional scientific and technical activities,3644
Females,United Kingdom,Administrative and support service activities,2617
Females,United Kingdom,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2918
Females,United Kingdom,Public administration and defence; compulsory social security3132
Females,United Kingdom,Education; human health and social work activities; arts entertainment and recreation; other service activities,2894
Females,United Kingdom,Education,2970
Females,United Kingdom,Human health and social work activities,2878
Females,United Kingdom,Arts entertainment and recreation,2441
Females,United Kingdom,Other service activities,2732
Females,North Macedonia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),542
Females,North Macedonia,Industry construction and services (except public administration defense compulsory social security),532
Females,North Macedonia,Business economy,516
Females,North Macedonia,Industry and construction,448
Females,North Macedonia,Industry (except construction),441
Females,North Macedonia,Mining and quarrying,727
Females,North Macedonia,Manufacturing,428
Females,North Macedonia,Electricity gas steam and air conditioning supply,866
Females,North Macedonia,Water supply; sewerage waste management and remediation activities,508
Females,North Macedonia,Construction,614
Females,North Macedonia,Services (except activities of households as employers and extra-territorial organisations and bodies),590
Females,North Macedonia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),581
Females,North Macedonia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,570
Females,North Macedonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,530
Females,North Macedonia,Transportation and storage,653
Females,North Macedonia,Accommodation and food service activities,421
Females,North Macedonia,Information and communication,927
Females,North Macedonia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,652
Females,North Macedonia,Financial and insurance activities,926
Females,North Macedonia,Real estate activities,472
Females,North Macedonia,Professional scientific and technical activities,721
Females,North Macedonia,Administrative and support service activities,454
Females,North Macedonia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,588
Females,North Macedonia,Public administration and defence; compulsory social security656
Females,North Macedonia,Education; human health and social work activities; arts entertainment and recreation; other service activities,568
Females,North Macedonia,Education,574
Females,North Macedonia,Human health and social work activities,566
Females,North Macedonia,Arts entertainment and recreation,504
Females,North Macedonia,Other service activities,868
Females,Albania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
Females,Albania,Industry construction and services (except public administration defense compulsory social security),380
Females,Albania,Business economy,348
Females,Albania,Industry and construction,283
Females,Albania,Industry (except construction),275
Females,Albania,Mining and quarrying,435
Females,Albania,Manufacturing,251
Females,Albania,Electricity gas steam and air conditioning supply,628
Females,Albania,Water supply; sewerage waste management and remediation activities,330
Females,Albania,Construction,354
Females,Albania,Services (except activities of households as employers and extra-territorial organisations and bodies),0
Females,Albania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),434
Females,Albania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,331
Females,Albania,Wholesale and retail trade; repair of motor vehicles and motorcycles,288
Females,Albania,Transportation and storage,400
Females,Albania,Accommodation and food service activities,263
Females,Albania,Information and communication,560
Females,Albania,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,547
Females,Albania,Financial and insurance activities,782
Females,Albania,Real estate activities,355
