"SEX","GEO","INDIC_SE","ISCED11","NACE_R2","TIME","SIZECLAS","UNIT","Value"
"Females","Ireland","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","2 942"
"Females","Ireland","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","2 748"
"Females","Ireland","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","2 071"
"Females","Ireland","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","3 221"
"Females","Ireland","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 427"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","1 709"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","1 975"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","1 736"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","2 006"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","1 724"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","1 992"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","1 716"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","1 983"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","1 866"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","2 157"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","1 688"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","1 951"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","2 105"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","2 433"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","2 145"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","2 479"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","1 774"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","2 050"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 708"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","1 974"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1 536"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","1 776"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1 407"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","1 626"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","2 357"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","2 725"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","1 340"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 549"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","1 638"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","1 893"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","2 049"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 369"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","2 533"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","2 927"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","1 710"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","1 977"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","1 944"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","2 247"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","1 358"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 570"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro",":"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro",":"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1 684"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 946"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","1 726"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","1 995"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","1 701"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","1 966"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","1 288"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","1 488"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","1 405"
"Females","Greece","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 624"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","2 456"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 566"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","2 448"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","2 558"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","2 372"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","2 478"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","2 432"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","2 541"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","2 485"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","2 596"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","3 498"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","3 654"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","2 438"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","2 547"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","3 557"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","3 716"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","2 330"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","2 434"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","2 194"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","2 292"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","2 459"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 569"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","2 450"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 559"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","2 204"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","2 302"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","2 058"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","2 150"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","2 274"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","2 375"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","1 789"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 869"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","2 573"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","2 688"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","2 491"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 603"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","3 241"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","3 386"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","2 392"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","2 499"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","2 316"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","2 420"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","1 881"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 965"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","2 520"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 633"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","2 521"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)","2 634"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","2 520"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 633"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","2 400"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","2 507"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","2 696"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","2 817"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","2 120"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","2 214"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","1 920"
"Females","Spain","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 006"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3 104"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 732"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","3 129"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","2 754"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","3 358"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","2 956"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","3 502"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","3 082"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","3 525"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","3 103"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","3 662"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","3 223"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","3 511"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","3 090"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","3 897"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","3 430"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","3 105"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","2 733"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","3 329"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","2 930"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3 066"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 698"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3 088"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 718"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","3 188"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","2 806"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","2 958"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","2 604"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","3 310"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","2 914"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","2 448"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 155"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","3 829"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","3 370"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","3 421"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 011"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","3 575"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","3 146"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","2 956"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","2 602"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","3 659"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","3 220"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","2 830"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 491"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","2 893"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 547"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","2 912"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)","2 563"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","2 888"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 542"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","2 985"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","2 627"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","2 793"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","2 458"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","3 095"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","2 724"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","2 783"
"Females","France","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 449"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 522"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 169"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","1 518"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","2 164"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","1 667"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","2 376"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","1 545"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","2 202"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","1 556"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","2 217"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","1 892"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","2 696"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","1 526"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","2 175"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","1 978"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","2 819"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","1 507"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","2 148"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","1 472"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","2 097"
"Females","Croatia","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 519"
